ZIPCODE;DATETIME;MIN;MAX;COUNT;SUM
***80230-;2016 W37;2.0;3.0;6.0;13.0
***80150-;2016 W37;2.0;4.0;4.0;10.0
***80190-;2016 W37;1.0;3.0;5.0;7.0
***80140-;2016 W37;2.0;2.0;2.0;4.0
***80060-;2016 W37;2.0;2.0;6.0;12.0
***80120-;2016 W37;1.0;1.0;4.0;4.0
***80210-;2016 W37;2.0;2.0;1.0;2.0
***80000-;2016 W37;2.0;4.0;5.0;14.0
***80220-;2016 W37;1.0;2.0;6.0;11.0
***80160-;2016 W36;3.0;3.0;1.0;3.0
***80070-;2016 W37;1.0;2.0;2.0;3.0
***80240-;2016 W37;1.0;2.0;7.0;8.0
***80190-;2016 W37;2.0;2.0;1.0;2.0
***80150-;2016 W37;2.0;3.0;6.0;13.0
***80140-;2016 W37;1.0;1.0;1.0;1.0
***80050-;2016 W37;1.0;3.0;3.0;6.0
***80120-;2016 W37;1.0;2.0;5.0;8.0
***80060-;2016 W37;1.0;2.0;5.0;6.0
***80020-;2016 W37;1.0;1.0;5.0;5.0
***80150-;2016 W37;2.0;5.0;3.0;9.0
***80110-;2016 W37;1.0;1.0;2.0;2.0
***80190-;2016 W37;2.0;2.0;1.0;2.0
***80240-;2016 W37;1.0;2.0;3.0;4.0
***80030-;2016 W37;1.0;2.0;3.0;4.0
***80140-;2016 W36;3.0;3.0;1.0;3.0
***80140-;2016 W37;1.0;7.0;5.0;13.0
***80220-;2016 W36;2.0;2.0;1.0;2.0
***80220-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W37;1.0;2.0;4.0;7.0
***80170-;2016 W37;2.0;2.0;3.0;6.0
***80080-;2016 W37;1.0;1.0;1.0;1.0
***80100-;2016 W37;2.0;2.0;6.0;12.0
***80080-;2016 W37;1.0;2.0;2.0;3.0
***80110-;2016 W37;1.0;1.0;4.0;4.0
***80140-;2016 W37;1.0;1.0;2.0;2.0
***80150-;2016 W37;1.0;1.0;1.0;1.0
***80210-;2016 W37;2.0;2.0;5.0;10.0
***80180-;2016 W37;1.0;3.0;3.0;6.0
***80190-;2016 W36;1.0;1.0;1.0;1.0
***80190-;2016 W37;1.0;2.0;6.0;9.0
***80060-;2016 W37;1.0;3.0;5.0;11.0
***80150-;2016 W37;1.0;3.0;6.0;10.0
***80080-;2016 W37;2.0;6.0;5.0;14.0
***80040-;2016 W36;2.0;2.0;1.0;2.0
***80040-;2016 W37;1.0;2.0;5.0;7.0
***80130-;2016 W37;2.0;3.0;2.0;5.0
***80030-;2016 W37;1.0;1.0;5.0;5.0
***80110-;2016 W37;2.0;2.0;2.0;4.0
***80190-;2016 W37;1.0;2.0;3.0;5.0
***80240-;2016 W37;1.0;1.0;5.0;5.0
***80020-;2016 W37;1.0;1.0;3.0;3.0
***80100-;2016 W37;2.0;2.0;1.0;2.0
***80160-;2016 W37;3.0;3.0;1.0;3.0
***80060-;2016 W37;2.0;2.0;5.0;10.0
***80030-;2016 W37;1.0;2.0;2.0;3.0
***80210-;2016 W36;1.0;1.0;1.0;1.0
***80210-;2016 W37;1.0;6.0;6.0;15.0
***80160-;2016 W37;2.0;2.0;5.0;10.0
***80090-;2016 W36;1.0;1.0;1.0;1.0
***80090-;2016 W37;2.0;4.0;3.0;8.0
***80190-;2016 W37;1.0;1.0;2.0;2.0
***80080-;2016 W37;1.0;3.0;4.0;8.0
***80170-;2016 W37;1.0;4.0;5.0;11.0
***80130-;2016 W37;2.0;2.0;6.0;12.0
***80090-;2016 W37;2.0;3.0;4.0;9.0
***80110-;2016 W37;3.0;5.0;4.0;16.0
***80010-;2016 W37;1.0;1.0;1.0;1.0
***80200-;2016 W37;1.0;3.0;7.0;14.0
***80200-;2016 W37;4.0;4.0;1.0;4.0
***80030-;2016 W37;2.0;2.0;5.0;10.0
***80210-;2016 W37;1.0;2.0;5.0;7.0
***80150-;2016 W37;1.0;1.0;3.0;3.0
***80020-;2016 W37;1.0;1.0;3.0;3.0
***80040-;2016 W37;1.0;2.0;5.0;9.0
***80070-;2016 W37;1.0;2.0;5.0;8.0
***80140-;2016 W37;2.0;2.0;5.0;10.0
***80180-;2016 W37;2.0;2.0;5.0;10.0
***80110-;2016 W37;2.0;4.0;5.0;16.0
***80210-;2016 W37;2.0;2.0;2.0;4.0
***80080-;2016 W37;1.0;1.0;2.0;2.0
***80180-;2016 W37;1.0;1.0;3.0;3.0
***80070-;2016 W37;2.0;4.0;5.0;15.0
***80220-;2016 W37;1.0;1.0;5.0;5.0
***80150-;2016 W37;3.0;3.0;1.0;3.0
***80140-;2016 W37;3.0;3.0;5.0;15.0
***80150-;2016 W37;1.0;3.0;5.0;8.0
***80120-;2016 W37;1.0;1.0;3.0;3.0
***80100-;2016 W37;1.0;3.0;7.0;13.0
***80060-;2016 W37;2.0;2.0;5.0;10.0
***80010-;2016 W37;1.0;1.0;2.0;2.0
***80090-;2016 W37;1.0;1.0;5.0;5.0
***80230-;2016 W37;2.0;2.0;1.0;2.0
***80120-;2016 W37;1.0;1.0;2.0;2.0
***80010-;2016 W37;2.0;3.0;4.0;9.0
***80150-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;1.0;4.0;6.0;13.0
***80200-;2016 W37;1.0;2.0;3.0;5.0
***80120-;2016 W37;4.0;4.0;1.0;4.0
***80190-;2016 W37;1.0;2.0;5.0;8.0
***80000-;2016 W37;1.0;2.0;6.0;10.0
***80090-;2016 W37;2.0;3.0;6.0;14.0
***80190-;2016 W36;3.0;3.0;1.0;3.0
***80000-;2016 W37;4.0;4.0;1.0;4.0
***80160-;2016 W37;1.0;1.0;2.0;2.0
***80030-;2016 W37;1.0;6.0;5.0;11.0
***80150-;2016 W37;2.0;2.0;1.0;2.0
***80210-;2016 W37;2.0;2.0;1.0;2.0
***80030-;2016 W37;1.0;2.0;3.0;4.0
***80020-;2016 W37;2.0;3.0;5.0;11.0
***80190-;2016 W37;1.0;2.0;5.0;8.0
***80220-;2016 W37;1.0;4.0;6.0;11.0
***80060-;2016 W36;1.0;1.0;1.0;1.0
***80060-;2016 W37;1.0;2.0;6.0;7.0
***80090-;2016 W36;3.0;3.0;1.0;3.0
***80090-;2016 W37;2.0;10.0;7.0;35.0
***80140-;2016 W37;1.0;2.0;2.0;3.0
***80140-;2016 W37;2.0;3.0;5.0;11.0
***80130-;2016 W37;2.0;2.0;2.0;4.0
***80040-;2016 W36;4.0;4.0;1.0;4.0
***80180-;2016 W37;1.0;1.0;1.0;1.0
***80020-;2016 W37;2.0;2.0;4.0;8.0
***80130-;2016 W37;1.0;1.0;1.0;1.0
***80090-;2016 W37;1.0;3.0;3.0;6.0
***80150-;2016 W37;1.0;4.0;4.0;9.0
***80070-;2016 W37;1.0;1.0;1.0;1.0
***80220-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;1.0;3.0;6.0;8.0
***80200-;2016 W37;1.0;1.0;5.0;5.0
***80070-;2016 W37;1.0;4.0;7.0;17.0
***80220-;2016 W37;3.0;4.0;2.0;7.0
***80220-;2016 W37;1.0;3.0;3.0;6.0
***80200-;2016 W37;4.0;4.0;1.0;4.0
***80010-;2016 W37;1.0;1.0;1.0;1.0
***80100-;2016 W37;1.0;4.0;2.0;5.0
***80070-;2016 W37;2.0;2.0;4.0;8.0
***80080-;2016 W36;2.0;2.0;1.0;2.0
***80080-;2016 W37;1.0;4.0;6.0;13.0
***80170-;2016 W37;1.0;1.0;2.0;2.0
***80000-;2016 W37;2.0;3.0;5.0;11.0
***80070-;2016 W37;1.0;2.0;7.0;13.0
***80000-;2016 W37;1.0;3.0;4.0;8.0
***80070-;2016 W37;2.0;3.0;4.0;9.0
***80240-;2016 W37;1.0;4.0;2.0;5.0
***80190-;2016 W37;1.0;2.0;4.0;6.0
***80030-;2016 W37;2.0;2.0;2.0;4.0
***80130-;2016 W37;2.0;2.0;2.0;4.0
***80140-;2016 W37;1.0;4.0;5.0;13.0
***80150-;2016 W36;4.0;4.0;1.0;4.0
***80150-;2016 W37;3.0;5.0;5.0;19.0
***80150-;2016 W37;1.0;1.0;2.0;2.0
***80060-;2016 W37;2.0;2.0;4.0;8.0
***80220-;2016 W37;1.0;4.0;2.0;5.0
***80110-;2016 W36;1.0;1.0;1.0;1.0
***80110-;2016 W37;1.0;3.0;6.0;8.0
***80100-;2016 W37;1.0;3.0;4.0;9.0
***80030-;2016 W37;2.0;3.0;5.0;13.0
***80050-;2016 W37;1.0;2.0;3.0;5.0
***80210-;2016 W37;1.0;8.0;6.0;23.0
***80190-;2016 W37;1.0;1.0;3.0;3.0
***80090-;2016 W37;4.0;4.0;2.0;8.0
***80050-;2016 W37;2.0;3.0;6.0;14.0
***80210-;2016 W37;1.0;2.0;4.0;5.0
***80170-;2016 W37;2.0;2.0;2.0;4.0
***80060-;2016 W37;1.0;1.0;2.0;2.0
***80180-;2016 W37;1.0;2.0;5.0;7.0
***80230-;2016 W37;2.0;3.0;5.0;11.0
***80180-;2016 W37;1.0;2.0;3.0;4.0
***80190-;2016 W37;1.0;3.0;6.0;13.0
***80120-;2016 W36;4.0;4.0;1.0;4.0
***80100-;2016 W37;1.0;3.0;6.0;11.0
***80010-;2016 W37;1.0;4.0;5.0;12.0
***80170-;2016 W37;1.0;1.0;1.0;1.0
***80120-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;3.0;3.0;5.0;15.0
***80080-;2016 W37;1.0;2.0;3.0;4.0
***80230-;2016 W37;1.0;1.0;1.0;1.0
***80120-;2016 W37;2.0;2.0;4.0;8.0
***80010-;2016 W37;1.0;1.0;1.0;1.0
***80150-;2016 W36;1.0;1.0;1.0;1.0
***80150-;2016 W37;1.0;3.0;5.0;13.0
***80160-;2016 W36;1.0;1.0;1.0;1.0
***80030-;2016 W37;4.0;4.0;2.0;8.0
***80170-;2016 W37;2.0;2.0;5.0;10.0
***80010-;2016 W37;1.0;2.0;5.0;9.0
***80000-;2016 W37;2.0;2.0;1.0;2.0
***80160-;2016 W36;1.0;1.0;1.0;1.0
***80190-;2016 W37;1.0;2.0;5.0;7.0
***80240-;2016 W37;2.0;2.0;1.0;2.0
***80240-;2016 W37;1.0;4.0;5.0;11.0
***80090-;2016 W37;3.0;3.0;1.0;3.0
***80090-;2016 W37;1.0;1.0;1.0;1.0
***80090-;2016 W37;1.0;2.0;3.0;4.0
***80000-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;2.0;3.0;2.0;5.0
***80030-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W36;1.0;1.0;1.0;1.0
***80080-;2016 W37;1.0;2.0;4.0;5.0
***80230-;2016 W36;3.0;3.0;1.0;3.0
***80230-;2016 W37;1.0;2.0;3.0;5.0
***80040-;2016 W37;1.0;2.0;3.0;5.0
***80090-;2016 W37;2.0;2.0;6.0;12.0
***80110-;2016 W37;2.0;2.0;4.0;8.0
***80090-;2016 W37;1.0;2.0;5.0;9.0
***80150-;2016 W37;1.0;1.0;2.0;2.0
***80100-;2016 W37;1.0;4.0;6.0;17.0
***80100-;2016 W37;1.0;2.0;3.0;4.0
***80190-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;1.0;2.0;4.0;6.0
***80020-;2016 W37;2.0;4.0;6.0;14.0
***80050-;2016 W37;1.0;1.0;1.0;1.0
***80170-;2016 W37;1.0;2.0;6.0;8.0
***80130-;2016 W37;2.0;2.0;1.0;2.0
***80160-;2016 W37;2.0;2.0;3.0;6.0
***80060-;2016 W37;1.0;4.0;4.0;8.0
***80210-;2016 W37;1.0;1.0;1.0;1.0
***80170-;2016 W37;1.0;2.0;7.0;13.0
***80110-;2016 W37;1.0;1.0;5.0;5.0
***80230-;2016 W37;1.0;4.0;6.0;13.0
***80070-;2016 W37;7.0;7.0;1.0;7.0
***80180-;2016 W37;1.0;2.0;6.0;10.0
***80160-;2016 W36;1.0;1.0;1.0;1.0
***80030-;2016 W37;2.0;6.0;2.0;8.0
***80200-;2016 W36;2.0;2.0;1.0;2.0
***80200-;2016 W37;1.0;4.0;7.0;14.0
***80050-;2016 W37;1.0;1.0;6.0;6.0
***80150-;2016 W36;1.0;1.0;1.0;1.0
***80150-;2016 W37;2.0;2.0;6.0;12.0
***80150-;2016 W37;1.0;2.0;2.0;3.0
***80170-;2016 W37;1.0;4.0;2.0;5.0
***80190-;2016 W36;8.0;8.0;1.0;8.0
***80190-;2016 W37;1.0;1.0;1.0;1.0
***80170-;2016 W37;2.0;2.0;1.0;2.0
***80180-;2016 W37;2.0;2.0;2.0;4.0
***80220-;2016 W36;2.0;2.0;1.0;2.0
***80220-;2016 W37;2.0;4.0;3.0;8.0
***80160-;2016 W37;1.0;4.0;6.0;10.0
***80090-;2016 W37;1.0;3.0;5.0;10.0
***80230-;2016 W37;2.0;2.0;4.0;8.0
***80100-;2016 W37;2.0;2.0;4.0;8.0
***80160-;2016 W37;2.0;3.0;5.0;13.0
***80180-;2016 W37;1.0;2.0;5.0;8.0
***80010-;2016 W37;3.0;3.0;1.0;3.0
***80180-;2016 W37;2.0;3.0;3.0;7.0
***80030-;2016 W37;1.0;3.0;5.0;11.0
***80000-;2016 W37;1.0;4.0;5.0;13.0
***80130-;2016 W37;1.0;1.0;1.0;1.0
***80220-;2016 W37;1.0;3.0;3.0;5.0
***80060-;2016 W37;3.0;4.0;3.0;10.0
***80080-;2016 W37;2.0;4.0;2.0;6.0
***80190-;2016 W37;1.0;4.0;5.0;12.0
***80070-;2016 W37;2.0;2.0;3.0;6.0
***80210-;2016 W37;1.0;1.0;5.0;5.0
***80180-;2016 W37;1.0;1.0;1.0;1.0
***80140-;2016 W36;2.0;2.0;1.0;2.0
***80140-;2016 W37;2.0;2.0;2.0;4.0
***80030-;2016 W37;1.0;3.0;4.0;6.0
***80220-;2016 W37;1.0;2.0;2.0;3.0
***80060-;2016 W36;1.0;1.0;1.0;1.0
***80060-;2016 W37;2.0;3.0;6.0;13.0
***80080-;2016 W37;1.0;4.0;2.0;5.0
***80140-;2016 W37;1.0;2.0;5.0;8.0
***80170-;2016 W36;2.0;2.0;1.0;2.0
***80170-;2016 W37;1.0;2.0;3.0;5.0
***80150-;2016 W37;2.0;2.0;2.0;4.0
***80230-;2016 W37;1.0;2.0;6.0;11.0
***80060-;2016 W37;1.0;2.0;5.0;9.0
***80210-;2016 W37;1.0;2.0;5.0;9.0
***80170-;2016 W36;2.0;2.0;1.0;2.0
***80170-;2016 W37;2.0;2.0;6.0;12.0
***80010-;2016 W37;1.0;1.0;2.0;2.0
***80090-;2016 W37;1.0;1.0;6.0;6.0
***80170-;2016 W37;1.0;4.0;5.0;8.0
***80190-;2016 W37;4.0;4.0;1.0;4.0
***80040-;2016 W37;3.0;3.0;1.0;3.0
***80240-;2016 W37;2.0;2.0;1.0;2.0
***80140-;2016 W37;2.0;3.0;6.0;13.0
***80160-;2016 W37;1.0;2.0;4.0;5.0
***80140-;2016 W36;2.0;2.0;1.0;2.0
***80100-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W37;1.0;2.0;2.0;3.0
***80220-;2016 W37;1.0;1.0;1.0;1.0
***80010-;2016 W37;1.0;2.0;4.0;7.0
***80030-;2016 W37;1.0;6.0;4.0;11.0
***80240-;2016 W37;2.0;2.0;3.0;6.0
***80040-;2016 W37;2.0;2.0;6.0;12.0
***80200-;2016 W37;2.0;3.0;4.0;9.0
***80230-;2016 W37;1.0;1.0;5.0;5.0
***80010-;2016 W37;1.0;1.0;6.0;6.0
***80140-;2016 W37;1.0;4.0;5.0;13.0
***80150-;2016 W37;2.0;6.0;5.0;21.0
***80210-;2016 W37;3.0;3.0;1.0;3.0
***80060-;2016 W36;1.0;1.0;1.0;1.0
***80060-;2016 W37;2.0;2.0;1.0;2.0
***80230-;2016 W37;3.0;4.0;3.0;11.0
***80240-;2016 W37;1.0;2.0;5.0;9.0
***80080-;2016 W37;4.0;4.0;1.0;4.0
***80000-;2016 W37;3.0;4.0;6.0;23.0
***80240-;2016 W37;2.0;3.0;6.0;13.0
***80120-;2016 W37;1.0;2.0;5.0;9.0
***80150-;2016 W37;1.0;2.0;3.0;5.0
***80210-;2016 W36;2.0;2.0;1.0;2.0
***80210-;2016 W37;1.0;2.0;3.0;4.0
***80150-;2016 W37;1.0;1.0;1.0;1.0
***80040-;2016 W37;2.0;4.0;4.0;10.0
***80210-;2016 W37;1.0;3.0;6.0;11.0
***80220-;2016 W37;2.0;2.0;1.0;2.0
***80210-;2016 W36;1.0;1.0;1.0;1.0
***80210-;2016 W37;1.0;2.0;5.0;9.0
***80110-;2016 W37;1.0;2.0;5.0;7.0
***80040-;2016 W37;1.0;2.0;3.0;4.0
***80190-;2016 W37;1.0;2.0;2.0;3.0
***80030-;2016 W37;1.0;1.0;1.0;1.0
***80170-;2016 W37;1.0;2.0;5.0;9.0
***80140-;2016 W36;2.0;2.0;1.0;2.0
***80140-;2016 W37;2.0;4.0;5.0;13.0
***80130-;2016 W37;1.0;1.0;3.0;3.0
***80140-;2016 W37;2.0;2.0;5.0;10.0
***80080-;2016 W37;2.0;2.0;5.0;10.0
***80190-;2016 W37;1.0;1.0;2.0;2.0
***80190-;2016 W36;1.0;1.0;1.0;1.0
***80190-;2016 W37;1.0;1.0;7.0;7.0
***80140-;2016 W37;1.0;2.0;3.0;5.0
***80050-;2016 W37;1.0;4.0;3.0;8.0
***80150-;2016 W37;1.0;2.0;5.0;8.0
***80010-;2016 W36;2.0;2.0;1.0;2.0
***80010-;2016 W37;1.0;4.0;6.0;10.0
***80200-;2016 W36;1.0;1.0;1.0;1.0
***80200-;2016 W37;1.0;3.0;5.0;8.0
***80010-;2016 W37;2.0;2.0;1.0;2.0
***80180-;2016 W37;1.0;1.0;1.0;1.0
***80060-;2016 W37;2.0;3.0;5.0;14.0
***80120-;2016 W37;1.0;1.0;1.0;1.0
***80230-;2016 W37;2.0;2.0;4.0;8.0
***80100-;2016 W37;1.0;1.0;2.0;2.0
***80040-;2016 W37;2.0;3.0;2.0;5.0
***80040-;2016 W37;2.0;2.0;5.0;10.0
***80060-;2016 W37;2.0;3.0;3.0;7.0
***80040-;2016 W37;1.0;3.0;5.0;7.0
***80080-;2016 W37;2.0;2.0;1.0;2.0
***80220-;2016 W37;1.0;4.0;6.0;14.0
***80200-;2016 W37;4.0;4.0;1.0;4.0
***80070-;2016 W37;2.0;4.0;2.0;6.0
***80230-;2016 W37;1.0;1.0;4.0;4.0
***80100-;2016 W37;2.0;2.0;1.0;2.0
***80240-;2016 W37;1.0;2.0;4.0;7.0
***80110-;2016 W36;1.0;1.0;1.0;1.0
***80110-;2016 W37;1.0;2.0;4.0;6.0
***80240-;2016 W37;1.0;3.0;4.0;7.0
***80110-;2016 W37;1.0;2.0;2.0;3.0
***80040-;2016 W37;1.0;1.0;5.0;5.0
***80070-;2016 W37;1.0;3.0;5.0;10.0
***80210-;2016 W37;2.0;2.0;5.0;10.0
***80020-;2016 W37;2.0;5.0;6.0;15.0
***80100-;2016 W37;2.0;4.0;3.0;10.0
***80200-;2016 W36;1.0;1.0;1.0;1.0
***80200-;2016 W37;1.0;2.0;7.0;8.0
***80140-;2016 W37;1.0;4.0;7.0;14.0
***80120-;2016 W37;1.0;2.0;3.0;5.0
***80160-;2016 W37;1.0;1.0;6.0;6.0
***80010-;2016 W37;2.0;3.0;6.0;13.0
***80040-;2016 W37;1.0;2.0;5.0;9.0
***80180-;2016 W37;2.0;2.0;1.0;2.0
***80010-;2016 W37;1.0;2.0;4.0;5.0
***80080-;2016 W36;2.0;2.0;1.0;2.0
***80080-;2016 W37;2.0;2.0;6.0;12.0
***80060-;2016 W37;1.0;1.0;5.0;5.0
***80050-;2016 W36;4.0;4.0;1.0;4.0
***80170-;2016 W37;1.0;5.0;6.0;22.0
***80060-;2016 W37;1.0;2.0;3.0;5.0
***80020-;2016 W37;3.0;3.0;1.0;3.0
***80240-;2016 W37;1.0;3.0;5.0;7.0
***80170-;2016 W37;1.0;4.0;6.0;16.0
***80160-;2016 W36;2.0;2.0;1.0;2.0
***80160-;2016 W37;2.0;3.0;5.0;11.0
***80150-;2016 W36;4.0;4.0;1.0;4.0
***80150-;2016 W37;1.0;4.0;5.0;12.0
***80030-;2016 W37;2.0;2.0;1.0;2.0
***80120-;2016 W37;1.0;1.0;5.0;5.0
***80010-;2016 W37;2.0;2.0;1.0;2.0
***80110-;2016 W37;1.0;1.0;4.0;4.0
***80220-;2016 W37;1.0;3.0;6.0;15.0
***80010-;2016 W37;2.0;4.0;5.0;12.0
***80080-;2016 W36;3.0;3.0;1.0;3.0
***80080-;2016 W37;1.0;2.0;4.0;7.0
***80080-;2016 W37;1.0;1.0;5.0;5.0
***80020-;2016 W37;2.0;3.0;5.0;13.0
***80120-;2016 W36;4.0;4.0;1.0;4.0
***80000-;2016 W36;1.0;1.0;1.0;1.0
***80000-;2016 W37;1.0;2.0;5.0;9.0
***80200-;2016 W37;2.0;2.0;5.0;10.0
***80150-;2016 W37;1.0;3.0;4.0;9.0
***80240-;2016 W37;2.0;6.0;2.0;8.0
***80190-;2016 W37;1.0;1.0;5.0;5.0
***80100-;2016 W37;2.0;2.0;5.0;10.0
***80130-;2016 W37;1.0;1.0;4.0;4.0
***80210-;2016 W37;1.0;3.0;6.0;8.0
***80010-;2016 W36;1.0;1.0;1.0;1.0
***80130-;2016 W37;1.0;2.0;2.0;3.0
***80160-;2016 W37;2.0;2.0;6.0;12.0
***80140-;2016 W37;1.0;7.0;7.0;29.0
***80230-;2016 W37;2.0;2.0;3.0;6.0
***80050-;2016 W37;1.0;3.0;3.0;6.0
***80070-;2016 W37;2.0;4.0;5.0;16.0
***80000-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W37;1.0;2.0;4.0;6.0
***80230-;2016 W37;1.0;2.0;3.0;4.0
***80020-;2016 W37;1.0;1.0;1.0;1.0
***80040-;2016 W37;2.0;5.0;3.0;9.0
***80160-;2016 W37;1.0;4.0;5.0;12.0
***80080-;2016 W37;1.0;2.0;2.0;3.0
***80100-;2016 W37;2.0;2.0;6.0;12.0
***80130-;2016 W37;3.0;3.0;1.0;3.0
***80230-;2016 W37;1.0;1.0;1.0;1.0
***80160-;2016 W37;1.0;2.0;3.0;4.0
***80150-;2016 W37;1.0;1.0;3.0;3.0
***80230-;2016 W37;2.0;3.0;3.0;7.0
***80070-;2016 W37;2.0;2.0;1.0;2.0
***80090-;2016 W37;2.0;2.0;1.0;2.0
***80060-;2016 W37;2.0;2.0;1.0;2.0
***80190-;2016 W37;2.0;2.0;5.0;10.0
***80190-;2016 W37;1.0;1.0;1.0;1.0
***80220-;2016 W37;2.0;2.0;6.0;12.0
***80230-;2016 W37;1.0;4.0;5.0;11.0
***80030-;2016 W37;1.0;1.0;1.0;1.0
***80150-;2016 W37;1.0;4.0;2.0;5.0
***80200-;2016 W37;2.0;2.0;1.0;2.0
***80070-;2016 W37;1.0;3.0;6.0;13.0
***80140-;2016 W37;1.0;3.0;5.0;10.0
***80060-;2016 W37;2.0;4.0;5.0;14.0
***80090-;2016 W37;2.0;2.0;5.0;10.0
***80140-;2016 W37;2.0;4.0;5.0;14.0
***80150-;2016 W37;1.0;1.0;1.0;1.0
***80150-;2016 W37;1.0;4.0;4.0;9.0
***80200-;2016 W37;2.0;2.0;1.0;2.0
***80220-;2016 W37;1.0;2.0;6.0;11.0
***80160-;2016 W37;1.0;1.0;3.0;3.0
***80080-;2016 W37;2.0;2.0;5.0;10.0
***80140-;2016 W37;1.0;1.0;1.0;1.0
***80170-;2016 W37;2.0;5.0;5.0;16.0
***80240-;2016 W37;1.0;1.0;2.0;2.0
***80110-;2016 W36;1.0;1.0;1.0;1.0
***80170-;2016 W37;2.0;3.0;5.0;11.0
***80130-;2016 W36;1.0;1.0;1.0;1.0
***80130-;2016 W37;5.0;5.0;1.0;5.0
***80150-;2016 W36;4.0;4.0;1.0;4.0
***80150-;2016 W37;3.0;6.0;7.0;30.0
***80140-;2016 W37;2.0;2.0;4.0;8.0
***80130-;2016 W36;2.0;2.0;1.0;2.0
***80130-;2016 W37;2.0;2.0;5.0;10.0
***80140-;2016 W37;1.0;1.0;1.0;1.0
***80230-;2016 W37;1.0;3.0;4.0;6.0
***80000-;2016 W36;1.0;1.0;1.0;1.0
***80170-;2016 W37;1.0;4.0;5.0;11.0
***80070-;2016 W37;1.0;2.0;5.0;9.0
***80150-;2016 W37;1.0;1.0;2.0;2.0
***80020-;2016 W37;1.0;1.0;1.0;1.0
***80020-;2016 W37;1.0;2.0;5.0;6.0
***80020-;2016 W37;1.0;1.0;5.0;5.0
***80190-;2016 W37;1.0;1.0;1.0;1.0
***80030-;2016 W37;1.0;5.0;4.0;11.0
***80200-;2016 W37;2.0;3.0;4.0;10.0
***80030-;2016 W37;2.0;3.0;4.0;9.0
***80130-;2016 W37;1.0;1.0;1.0;1.0
***80190-;2016 W37;1.0;1.0;1.0;1.0
***80140-;2016 W37;1.0;1.0;1.0;1.0
***80220-;2016 W37;1.0;3.0;5.0;8.0
***80030-;2016 W37;1.0;2.0;6.0;11.0
***80180-;2016 W37;1.0;1.0;2.0;2.0
***80000-;2016 W37;3.0;5.0;5.0;17.0
***80100-;2016 W37;1.0;2.0;5.0;8.0
***80030-;2016 W37;2.0;2.0;5.0;10.0
***80060-;2016 W37;1.0;1.0;1.0;1.0
***80080-;2016 W37;1.0;2.0;5.0;9.0
***80110-;2016 W37;1.0;1.0;1.0;1.0
***80200-;2016 W36;4.0;4.0;1.0;4.0
***80200-;2016 W37;3.0;5.0;5.0;21.0
***80070-;2016 W37;1.0;2.0;6.0;8.0
***80060-;2016 W37;1.0;3.0;6.0;14.0
***80150-;2016 W37;1.0;2.0;2.0;3.0
***80130-;2016 W37;2.0;2.0;2.0;4.0
***80120-;2016 W36;4.0;4.0;1.0;4.0
***80120-;2016 W37;1.0;2.0;5.0;9.0
***80070-;2016 W37;1.0;3.0;6.0;14.0
***80200-;2016 W36;2.0;2.0;1.0;2.0
***80090-;2016 W37;1.0;1.0;1.0;1.0
***80110-;2016 W37;1.0;1.0;5.0;5.0
***80190-;2016 W36;2.0;2.0;1.0;2.0
***80190-;2016 W37;1.0;3.0;5.0;7.0
***80050-;2016 W37;2.0;2.0;1.0;2.0
***80180-;2016 W37;1.0;3.0;5.0;9.0
***80210-;2016 W37;2.0;4.0;5.0;17.0
***80110-;2016 W37;2.0;3.0;3.0;7.0
***80170-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W37;2.0;2.0;1.0;2.0
***80080-;2016 W37;1.0;1.0;1.0;1.0
***80060-;2016 W37;2.0;3.0;2.0;5.0
***80100-;2016 W37;1.0;4.0;5.0;8.0
***80170-;2016 W37;1.0;4.0;5.0;8.0
***80200-;2016 W37;2.0;2.0;1.0;2.0
***80060-;2016 W36;1.0;1.0;1.0;1.0
***80060-;2016 W37;3.0;6.0;2.0;9.0
***80180-;2016 W37;1.0;2.0;5.0;9.0
***80220-;2016 W37;2.0;4.0;6.0;14.0
***80060-;2016 W37;2.0;4.0;5.0;16.0
***80230-;2016 W37;2.0;2.0;4.0;8.0
***80040-;2016 W37;1.0;1.0;1.0;1.0
***80070-;2016 W37;2.0;3.0;4.0;10.0
***80200-;2016 W37;2.0;3.0;2.0;5.0
***80200-;2016 W37;2.0;3.0;2.0;5.0
***80040-;2016 W37;1.0;7.0;4.0;16.0
***80150-;2016 W37;1.0;1.0;1.0;1.0
***80100-;2016 W37;1.0;3.0;5.0;12.0
***80200-;2016 W37;1.0;2.0;5.0;9.0
***80060-;2016 W37;2.0;5.0;4.0;13.0
***80150-;2016 W37;1.0;1.0;1.0;1.0
***80050-;2016 W37;1.0;3.0;6.0;12.0
***80070-;2016 W37;1.0;5.0;5.0;12.0
